X,Y,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,ADDRESS_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-77.0219209059426,38.9123208874503,192,Ward 6,"1707 7th Street NW, Washington, District of Columbia 20001",Parcel 42,Pipeline,DMPED,56,38.91231309762,-77.021918614827,18,18,0,20,0,,,398099.022844173,138272.383752526,,2020/08/31 04:00:41+00
-77.0221357356967,38.9323467673494,194,Ward 1,"617 Morton Street Northwest, Washington, District of Columbia 20010",Park Morton - Onsite,Pipeline,DMPED OP,101,38.93233931,-77.02213344,57,0,44,0,0,16-12,285318,398080.93,140495.43,617 MORTON STREET NW,2020/08/31 04:00:41+00
-76.9868113849542,38.8506881177233,199,Ward 8,"2841 Robinson Place Southeast, Washington, District of Columbia 20020",Parkway Overlook,Completed 2015 to Date,DMPED DCHA DCHFA DHCD,220,38.85068067,-76.98680911,11,209,0,0,0,,45641,401145.02,131430.53,2841 ROBINSON PLACE SE,2020/08/31 04:00:41+00
-77.0272222986531,38.9564499755838,200,Ward 4,"935 Kennedy Street Northwest, Washington, District of Columbia 20011",Partner Arms 1,Completed 2015 to Date,DCHA DHCD,14,38.9564208,-77.02724042,14,0,0,0,0,,254535,397640.7,143171.22,935 KENNEDY STREET NW,2020/08/31 04:00:41+00
-77.024319832457,38.9117569972749,204,Ward 6,"901 Rhode Island Ave NW, Washington, District of Columbia 20001",Phyllis Wheatley,Completed 2015 to Date,DCHA DHCD,84,38.91174954,-77.02431754,84,0,0,0,0,,243262,397890.95,138209.84,901 RHODE ISLAND AVENUE NW,2020/08/31 04:00:41+00
-76.9107442230726,38.8931479476575,205,Ward 7,"323 63rd Street Northeast, Washington, District of Columbia 20019","Pleasant Park Cooperative, Inc.",Completed 2015 to Date,DHCD,41,38.89314049,-76.91074197,14,19,3,4,1,,148655,407743.33,136147.59,323 63RD STREET NE,2020/08/31 04:00:41+00
-77.0114040258602,38.8798751836786,210,Ward 6,"820 Half Street Southwest, Washington, District of Columbia 20024",Randall School,Pipeline,DMPED OP,196,38.8798674,-77.01140174,0,0,104,92,0,07-13G,,399010.68987916,134670.487265639,,2020/08/31 04:00:41+00
-77.0002905546664,38.9170236115851,211,Ward 5,"2005 4th Street Northeast, Washington, District of Columbia 20002","RAP, Inc. Community Based Residential Facility (fka The Summit)",Completed 2015 to Date,DHCD,38,38.91701582,-77.00028827,38,0,0,0,0,,,399975.000310853,138794.19684645,,2020/08/31 04:00:41+00
-76.988072019617,38.9004818165672,213,Ward 6,"1300 H St NE, Washington, District of Columbia 20002",RL Christian,Completed 2015 to Date,DMPED,33,38.90039266,-76.98811702,4,29,0,0,0,03-28A,286021,401034.87,136957.99,1300 H STREET NE,2020/08/31 04:00:41+00
-76.9804810496302,38.8956565460686,214,Ward 6,"417 17th St NE, Washington, District of Columbia 20002",Rosedale Townhomes / 17 Solar (Rosedale Property Disposition),Completed 2015 to Date,DHCD,12,38.89564189,-76.98052604,0,3,6,3,0,,311020,401693.45,136422.46,417 17TH STREET NE,2020/08/31 04:00:41+00
-76.988407444327,38.8482733049364,216,Ward 8,"1100 Alabama Avenue Southeast, Washington, District of Columbia 20032",Saint Elizabeths East Campus Redevelopment Phase I,Under Construction,DMPED DHCD,202,38.84826586,-76.98840517,0,202,0,0,0,,307946,401006.51,131162.45,1100 ALABAMA AVENUE SE,2020/08/31 04:00:41+00
-76.9925808277928,38.8607089459962,222,Ward 8,"Sayles Pl SE, Washington, District of Columbia 20020",Sheridan Station - Phase III,Completed 2015 to Date,DMPED DCHA DCHFA DHCD,133,38.860701165485,-76.992578548961,40,0,93,0,0,,,400644.119998579,132542.857027032,,2020/08/31 04:00:41+00
-77.0248287171242,38.9195509917862,223,Ward 1,"965 Florida Avenue Northwest, Washington, District of Columbia 20001",The Wren,Completed 2015 to Date,DMPED OP,126,38.9195432,-77.02482642,32,94,0,0,0,15-34,290008,397847.05,139075.05,965 FLORIDA AVENUE NW,2020/08/31 04:00:41+00
-76.968197016003,38.8589143366156,227,Ward 7,"Good Hope Rd SE, Washington, District of Columbia 20020",Skyland Town Center,Under Construction,DMPED OP,143,38.85890655556,-76.968194744873,0,0,0,95,48,09-03,,402760.500000529,132344.09702684,,2020/08/31 04:00:41+00
-76.9384932989842,38.8913832769571,230,Ward 7,"4414 Benning Rd NE, Washington, District of Columbia 20019",The Conway Center,Completed 2015 to Date,DCHA DCHFA DHCD,178,38.89106689,-76.93808314,162,16,0,0,0,,288206,405336.17,135949.71,4414 BENNING ROAD NE,2020/08/31 04:00:41+00
